",""dataset"",""nr_fold"",""algorithm"",""metric"""
"1,""AC"",1,""PLTR"",0.0985779380209718"
"2,""AC"",2,""PLTR"",0.111679744045049"
"3,""AC"",3,""PLTR"",0.118982212518283"
"4,""AC"",4,""PLTR"",0.0942927637836874"
"5,""AC"",5,""PLTR"",0.116647659073616"
"6,""AC"",6,""PLTR"",0.101386212865927"
"7,""AC"",7,""PLTR"",0.103943525768786"
"8,""AC"",8,""PLTR"",0.0998186600763584"
"9,""AC"",9,""PLTR"",0.10399991826096"
"10,""AC"",10,""PLTR"",0.109761707955356"
