",""dataset"",""nr_fold"",""algorithm"",""metric"""
"1,""HMEQ"",1,""PLTR"",0.645447198275862"
"2,""HMEQ"",2,""PLTR"",0.591300902148614"
"3,""HMEQ"",3,""PLTR"",0.613071962114778"
"4,""HMEQ"",4,""PLTR"",0.510574169732439"
"5,""HMEQ"",5,""PLTR"",0.630292598967298"
"6,""HMEQ"",6,""PLTR"",0.561991740220227"
"7,""HMEQ"",7,""PLTR"",0.58711740673766"
"8,""HMEQ"",8,""PLTR"",0.61436889546898"
"9,""HMEQ"",9,""PLTR"",0.613823892370605"
"10,""HMEQ"",10,""PLTR"",0.569466960638091"
