",""dataset"",""nr_fold"",""algorithm"",""metric"""
"1,""AC"",1,""PLTR"",0.924859501838618"
"2,""AC"",2,""PLTR"",0.914511784511784"
"3,""AC"",3,""PLTR"",0.908013582342954"
"4,""AC"",4,""PLTR"",0.93306858467412"
"5,""AC"",5,""PLTR"",0.906497705465165"
"6,""AC"",6,""PLTR"",0.934996971124722"
"7,""AC"",7,""PLTR"",0.918880199555046"
"8,""AC"",8,""PLTR"",0.926737838584853"
"9,""AC"",9,""PLTR"",0.930921275299533"
"10,""AC"",10,""PLTR"",0.910731406656622"
