",""dataset"",""nr_fold"",""algorithm"",""metric"""
"1,""AC"",1,""PLTR"",0.590198863636364"
"2,""AC"",2,""PLTR"",0.318197454420365"
"3,""AC"",3,""PLTR"",0.405844155844156"
"4,""AC"",4,""PLTR"",0.274185936762624"
"5,""AC"",5,""PLTR"",-0.075"
"6,""AC"",6,""PLTR"",0.56508875739645"
"7,""AC"",7,""PLTR"",0.288387096774193"
"8,""AC"",8,""PLTR"",0.219277108433735"
"9,""AC"",9,""PLTR"",0.563544303797468"
"10,""AC"",10,""PLTR"",0.130573248407643"
