",""dataset"",""nr_fold"",""algorithm"",""metric"""
"1,""HMEQ"",1,""PLTR"",0.0766026785259972"
"2,""HMEQ"",2,""PLTR"",0.0775029367442267"
"3,""HMEQ"",3,""PLTR"",0.0766396318981343"
"4,""HMEQ"",4,""PLTR"",0.0744328192140913"
"5,""HMEQ"",5,""PLTR"",0.0738702877541147"
"6,""HMEQ"",6,""PLTR"",0.0729718635062736"
"7,""HMEQ"",7,""PLTR"",0.0717434941257002"
"8,""HMEQ"",8,""PLTR"",0.0748907110017887"
"9,""HMEQ"",9,""PLTR"",0.074872756499554"
"10,""HMEQ"",10,""PLTR"",0.07258711309344"
