",""dataset"",""nr_fold"",""algorithm"",""metric"""
"1,""GC"",1,""PLTR"",0.765118989800874"
"2,""GC"",2,""PLTR"",0.75330528284245"
"3,""GC"",3,""PLTR"",0.753119331611059"
"4,""GC"",4,""PLTR"",0.717212379680743"
"5,""GC"",5,""PLTR"",0.732096944948578"
"6,""GC"",6,""PLTR"",0.716245009213759"
"7,""GC"",7,""PLTR"",0.771402155952475"
"8,""GC"",8,""PLTR"",0.724970390110297"
"9,""GC"",9,""PLTR"",0.72965196702263"
"10,""GC"",10,""PLTR"",0.741361939192793"
