dataset,nr_fold,algorithm,metric
BF,6,SRE_bag,0.0307414596424103
BF,6,SRE_boosting,0.0326872039338986
BF,6,SRE_PLTR,0.0316950136965784
BF,6,PLTR,0.0305773610527904
GC,1,LRR,0.0378535659945808
GC,1,GAM,0.0390954497317185
GC,1,LDA,0.039650083740459
GC,1,CTREE,0.0337311131828117
GC,1,RF,0.0401367191733262
GC,1,LGBM,0.0394575899417568
GC,1,RE_boosting,0.0383197848847273
GC,1,RE_RF,0.0369692702085778
GC,1,RE_bag,0.0383660643475137
GC,1,SRE_RF,0.0359754706389859
GC,1,SRE_bag,0.037785851566506
GC,1,SRE_boosting,0.0356249533601437
GC,1,SRE_PLTR,0.0358452132255986
GC,1,PLTR,0.0359410254040567
GC,2,LRR,0.0413207028270137
GC,2,GAM,0.0415073191457389
GC,2,LDA,0.0425467675850129
GC,2,CTREE,0.0369845379933263
GC,2,RF,0.0404302060727321
GC,2,LGBM,0.0369140554864222
GC,2,RE_boosting,0.0445246982816667
GC,2,RE_RF,0.0401249803255556
GC,2,RE_bag,0.0429994621356991
GC,2,SRE_RF,0.0395269636759715
GC,2,SRE_bag,0.0396453597577594
GC,2,SRE_boosting,0.0411969418681827
GC,2,SRE_PLTR,0.0400502580167121
GC,2,PLTR,0.0392757937501778
GC,3,LRR,0.0429848912034616
GC,3,GAM,0.0465152612561046
GC,3,LDA,0.0482784230071789
GC,3,CTREE,0.0413433962253043
GC,3,RF,0.0429057525420727
GC,3,LGBM,0.041103052019701
GC,3,RE_boosting,0.0432852352176485
GC,3,RE_RF,0.0418378906815733
GC,3,RE_bag,0.0436690376658366
GC,3,SRE_RF,0.0401721047828077
GC,3,SRE_bag,0.0431666653763333
GC,3,SRE_boosting,0.0451527953049108
GC,3,SRE_PLTR,0.0414828346174287
GC,3,PLTR,0.0417760099864754
GC,4,LRR,0.033321659274055
GC,4,GAM,0.0312438788985026
GC,4,LDA,0.0323235767535841
GC,4,CTREE,0.0284895872070832
GC,4,RF,0.0306922593191161
GC,4,LGBM,0.0271178814249573
GC,4,RE_boosting,0.0310688933865556
GC,4,RE_RF,0.0307154981028392
GC,4,RE_bag,0.030931407116271
GC,4,SRE_RF,0.0301164284005196
GC,4,SRE_bag,0.0303627728296129
GC,4,SRE_boosting,0.0290617939855385
GC,4,SRE_PLTR,0.0295650446115467
GC,4,PLTR,0.0285338417764103
GC,5,LRR,0.0433162641887333
GC,5,GAM,0.0416519962681603
GC,5,LDA,0.041772950186352
GC,5,CTREE,0.0371499775676943
GC,5,RF,0.0433593711550889
GC,5,LGBM,0.0375510905135556
GC,5,RE_boosting,0.0403138554268551
GC,5,RE_RF,0.0399442182971107
GC,5,RE_bag,0.0382942135095067
GC,5,SRE_RF,0.0394671553290292
GC,5,SRE_bag,0.0379204262425574
GC,5,SRE_boosting,0.0394036777636975
GC,5,SRE_PLTR,0.0375836665788061
GC,5,PLTR,0.0382198965754799
GC,6,LRR,0.039676470779903
GC,6,GAM,0.040222647396861
GC,6,LDA,0.0414790763812423
GC,6,CTREE,0.035103551050676
GC,6,RF,0.039491151563994
GC,6,LGBM,0.0356100612726182
GC,6,RE_boosting,0.0364882981639955
GC,6,RE_RF,0.0375065065253794
GC,6,RE_bag,0.0380157237385722
GC,6,SRE_RF,0.0375113324577367
GC,6,SRE_bag,0.0345208827593348
GC,6,SRE_boosting,0.0368665555093323
GC,6,SRE_PLTR,0.0346156773596889
GC,6,PLTR,0.0357275681567919
GMSC,1,LRR,0.00458863257231706
GMSC,1,GAM,0.00227648190422642
GMSC,1,LDA,4.5040202306018e-4
GMSC,1,CTREE,0.00388577052486352
GMSC,1,RF,0.00430485208063918
GMSC,1,LGBM,0.00408591283761932
GMSC,1,RE_boosting,0.00458365300639444
GMSC,1,RE_RF,0.0043639273738033
GMSC,1,RE_bag,0.0045842766882078
GMSC,1,SRE_RF,0.00474202565156141
GMSC,1,SRE_bag,0.00464912183855614
GMSC,1,SRE_boosting,0.00471950483056229
GMSC,1,SRE_PLTR,0.0046175465402865
GMSC,1,PLTR,0.00415036062651996
GMSC,2,LRR,0.00441493544207955
GMSC,2,GAM,0.00188888875887638
GMSC,2,LDA,3.402816001612e-4
GMSC,2,CTREE,0.00362241876713768
GMSC,2,RF,0.00395105918075971
GMSC,2,LGBM,0.00402408268592543
GMSC,2,RE_boosting,0.00438690270911306
GMSC,2,RE_RF,0.00429912439334722
GMSC,2,RE_bag,0.00414563884372733
GMSC,2,SRE_RF,0.00441686142231056
GMSC,2,SRE_bag,0.0044029217149354
GMSC,2,SRE_boosting,0.00438297204992239
GMSC,2,SRE_PLTR,0.00430678681697344
GMSC,2,PLTR,0.0032634219509988
GMSC,3,LRR,0.00464440272248301
GMSC,3,GAM,0.00211771741870449
GMSC,3,LDA,5.7765926680471e-4
GMSC,3,CTREE,0.00407448255188451
GMSC,3,RF,0.0042982968044989
GMSC,3,LGBM,0.00431150782497453
GMSC,3,RE_boosting,0.00467599909997923
GMSC,3,RE_RF,0.00451930039565834
GMSC,3,RE_bag,0.0043090732136689
GMSC,3,SRE_RF,0.00468446939351667
GMSC,3,SRE_bag,0.00461213921410496
GMSC,3,SRE_boosting,0.00475304618041737
GMSC,3,SRE_PLTR,0.00455138571446113
GMSC,3,PLTR,1.9703643030588e-4
GMSC,4,LRR,0.00428164775451311
GMSC,4,GAM,0.00203411498604929
GMSC,4,LDA,2.9329026088648e-4
GMSC,4,CTREE,0.00391153851161679
GMSC,4,RF,0.00390048449778769
GMSC,4,LGBM,0.00407087405502397
GMSC,4,RE_boosting,0.00424637610544554
GMSC,4,RE_RF,0.00431665240766552
